job_id,title,company,city,salary,salary_min,salary_max,date_posted,description_preview,is_hot_job,link
7726731,Аналітик з маркетингу,"Бізнес Позика, ТОВ",Бізнес Позика ТОВ,80 000 грн,80.0,0.0,12 березня 2026,"Працюємо з цифрами, які впливають на реальний бізнес, і шукаємо аналітика, який перетворює дані на рішення. Якщо тобі цікаво не просто…",True,https://www.work.ua/jobs/7726731/
6811009,Фінансовий аналітик (із знанням англійської мови),PwC Service Delivery Center,PwC Service Delivery Center,,,,12 березня 2026,"Твій старт із PwC Lviv SDC: Вакансія, яка відкриває двері у майбутнє PwC — це глобальна мережа із більш, ніж 370 000 професіоналів у 149 країнах, яка перетворює виклики на можливості. Ми створюємо інноваційні рішення…",True,https://www.work.ua/jobs/6811009/
7796649,"Business Analyst (Middle, Web)",Ajax Systems,Ajax Systems,,,,11 березня 2026,"Ajax Systems is an international tech company and the largest manufacturer of security systems in Europe, with over 4.5 million end users and 330K PRO users in more than 180 countries worldwide. The company offers…",True,https://www.work.ua/jobs/7796649/
7795683,Аналітик продаж у Гостомель,"Ветропак Гостомельський Склозавод, ПрАТ",Ветропак Гостомельський Склозавод ПрАТ,,,,11 березня 2026,"Ветропак Україна займається виготовленням, продажем та реалізацією…",True,https://www.work.ua/jobs/7795683/
7670353,Кредитний аналітик (аналітикиня),ПроКредит Банк,ПроКредит Банк,,,,11 березня 2026,"АТ «ПроКредит Банк» — це німецький банк зі 100% іноземним капіталом, що входить до складу міжнародної групи ProCredit Holding. Ми працюємо для підтримки розвитку та зростання малого та середнього бізнесу, а також…",True,https://www.work.ua/jobs/7670353/
7739331,"Data Analyst, Team Lead","Є гроші, фінансова компанія, ТОВ",Є гроші фінансова компанія ТОВ,60 000 – 90 000 грн,60.0,0.0,10 березня 2026,"Обов’язки:   Формування стратегії аналітики та побудова аналітичної екосистеми в компанії.   Управління командою аналітиків: постановка цілей, пріоритизація задач, коучинг.   Розробка та впровадження системи метрик,…",True,https://www.work.ua/jobs/7739331/
7683694,Помічник аналітика (з навчанням),Dnipro-M,Dnipro-M,30 000 – 35 000 грн,30.0,0.0,6 березня 2026,"Повна зайнятість. Також готові взяти студента, людину з інвалідністю.
                            Лідер ринку інструментів DNIPRO-M в пошуках Помічника аналітика! Що варто знати про нас:   ми родом з України і вже представлені на ринку Європи   мережа фірмових магазинів 600+ в Україні   мережа сервісних центрів…",True,https://www.work.ua/jobs/7683694/
7772073,Data analyst,Ajax Systems,Ajax Systems,,,,5 березня 2026,"Ajax Systems — міжнародна технологічна компанія і найбільший у Європі виробник охоронних систем. Продуктам Ajax довіряють уже понад 4,5 мільйони кінцевих користувачів і 330 тисяч PRO-користувачів у більш ніж 180…",True,https://www.work.ua/jobs/7772073/
7702275,Аналітик (Marketing Department),Hay credito,Hay credito,30 000 – 35 000 грн,30.0,0.0,12 березня 2026,"Повна зайнятість. Досвід роботи від 1 року.
                            Вимоги:    досвід роботи з маркетинговою аналітикою або аналітикою даних буде перевагою   розуміння основ маркетингових метрик   базові знання SQL або аналітичних інструментів — плюс   аналітичне мислення, уважність…",True,https://www.work.ua/jobs/7702275/
7188010,"Data Analyst (SQL, Python)","Є гроші, фінансова компанія, ТОВ",Є гроші фінансова компанія ТОВ,60 000 – 90 000 грн,60.0,0.0,12 березня 2026,"Робота з базами даних (SQL-запити, з'єднання таблиць, агрегування даних).   Автоматизація…",True,https://www.work.ua/jobs/7188010/
7682791,Senior Data Analyst,GoITeens,GoITeens,,,,12 березня 2026,"Привіт! Ми — GoITeens, інноваційна IT-спільнота та освітня платформа для підлітків, де вони не просто навчаються, а відкривають двері в світ технологій, командної роботи та підприємництва. Наша місія — допомогти…",False,https://www.work.ua/jobs/7682791/
7307257,Brand Ads Analyst (Ukraine),Glovo,Glovo,,,,12 березня 2026,A ride that will fuel up your ambitions to take on a new challenge and stretch yourself beyond your comfort zone.  We’ll deliver a non-vanilla culture…,False,https://www.work.ua/jobs/7307257/
7683433,Аналітик з економічної безпеки,Vyriy,Vyriy,45 000 – 55 000 грн,45.0,0.0,12 березня 2026,"VYRIY — українська інженерна компанія, провідний виробник бойових безпілотних комплексів, активно впроваджує системи роботизації війни та рішення з локалізованих комплектуючих. Ми ростемо, розширюємо команду та шукаємо…",False,https://www.work.ua/jobs/7683433/
6755416,Офіцер-аналітик штабу військової частини,Військова частина А2152,Військова частина А2152,30 000 – 85 000 грн,30.0,0.0,12 березня 2026,Вакансія: Офіцер-аналітик штабу військової частини забезпечення сухопутних військ. Локація: місто Одеса Опис вакансії:  Світ змінився. Розвиток технологій встановив нові правила гри у всіх сферах життя. Сучасна…,False,https://www.work.ua/jobs/6755416/
7689436,Аналітик,ДТЕК,ДТЕК,,,,12 березня 2026,"ДТЕК Дніпровські Електромережі — провідна енергетична компанія України, яка розподіляє електроенергію на території Дніпропетровської області та обслуговує понад 1,3 млн клієнтів. Співробітники Компанії щоденно забезпечують…",False,https://www.work.ua/jobs/7689436/
7774818,"Cybersecurity Analyst (Cloud, Network Security)","EVA, лінія магазинів",EVA лінія магазинів,,,,12 березня 2026,"Ми — Лінія магазинів EVA, один з найбільших рітейлів України. Наша ІТ-інфраструктура — це величезний «живий» організм, який постійно зростає. Саме тому ми розширюємо команду інформаційної безпеки та шукаємо Cybersecurity…",False,https://www.work.ua/jobs/7774818/
7802418,Фінансовий аналітик,Sav orbico,Sav orbico,,,,12 березня 2026,"Компанія SAV ORBICO — міжнародний дистриб’ютор продовольчої та непродовольчої групи товарів всесвітньо відомих брендів, таких як Ariel, Head&Shoulders, Blend-a-Med, Pampers, Always, Gillette, Duracell, Mentos, Chupa…",False,https://www.work.ua/jobs/7802418/
6512902,Аналітик-дешифрувальник розвідданих з БПЛА,6 центр рекрутингу Сил безпілотних систем,6 центр рекрутингу Сил безпілотних систем,28 000 – 128 000 грн,28.0,0.0,12 березня 2026,"Ми формуємось як високопрофесійний рід військ, у якому кожен знає свою роль, працює з технологіями майбутнього та…",False,https://www.work.ua/jobs/6512902/
7691905,Бізнес-аналітик (CRM Creatio),CRM Genesis,CRM Genesis,30 000 – 50 000 грн,30.0,0.0,12 березня 2026,"Вища освіта.
                            Ми — команда, що спеціалізується на автоматизації бізнес-процесів і створенні CRM — рішень на базі Creatio (Terrasoft). Наш фокус — робити процеси клієнтів зрозумілими, прозорими та керованими. Наші клієнти — компанії…",False,https://www.work.ua/jobs/7691905/
6769153,Фахівець з підтримки облікових систем,WOG,WOG,,,,12 березня 2026,"Запрошуємо у свою команду Фахівця з підтримки облікових систем (BAS)!  Ти — наша людина, якщо:   маєш досвід роботи з обліковими системами (BAS, 1С або іншими);   розумієш принципи роботи облікових та управлінських…",False,https://www.work.ua/jobs/6769153/
7696788,Marketing and Growth Analyst,Glovo,Glovo,,,,12 березня 2026,A ride that will fuel up your ambitions to take on a new challenge and stretch yourself beyond your comfort zone. We’ll deliver a non-vanilla culture…,False,https://www.work.ua/jobs/7696788/
7615867,Аналітик,"КООП Торг Сервіс, ООО",КООП Торг Сервіс ООО,,,,12 березня 2026,"ТОВ «КООП ТОРГ СЕРВІС» входить до складу Групи Компаній АФІНА, спеціалізується на обслуговуванні магазинів, що входять до складу Укоопспілки, торгова мережа якого налічує більше 10 тисяч магазинів Ми запрошуємо…",False,https://www.work.ua/jobs/7615867/
7720512,"Головний економіст-аналітик (AML, управління фінансового моніторингу)","Банк інвестицій та заощаджень, АТ",Банк інвестицій та заощаджень АТ,,,,12 березня 2026,"Головний економіст-аналітик (AML)Відділ моніторингу та аналізу операцій, Управління фінансового моніторингу, Департамент фінансового та валютного моніторингу Про банкБАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ (BISBANK) — сучасний…",False,https://www.work.ua/jobs/7720512/
7545127,Аналітик з кредитного аналізу,Sense Bank,Sense Bank,,,,12 березня 2026,"Sense Bank — це державний банк з 30 роками історії. За цей час ми стали не просто місцем для роботи, а спільнотою з 4000 людей, де кожен присвячений місії — створювати сенси, щоб здійснювались мрії українців. Шукаємо…",False,https://www.work.ua/jobs/7545127/
7802064,Business Analyst,Promodo,Promodo,,,,12 березня 2026,"Promodo — маркетингова агенція повного циклу, заснована у 2004 в Україні. В штаті працює понад 450 фахівців у 5 представництвах по всьому світу (Україна, США, Велика Британія, Естонія, Казахстан). П’ятий рік поспіль…",False,https://www.work.ua/jobs/7802064/
7690780,Молодший фінансовий аналітик (стажер),1+1 media,1+1 media,,,,12 березня 2026,"Отримуйте унікальний досвід стажування у компанії професіоналів, які встановлюють стандарти галузі й творять майбутнє медіа в Україні.  1+1…",False,https://www.work.ua/jobs/7690780/
7014574,"Data Analyst (QA, аналітика даних та контроль якості), військовослужбовець",Військова частина А4862,Військова частина А4862,50 000 – 125 000 грн,50.0,0.0,12 березня 2026,"Повна зайнятість. Досвід роботи від 2 років.
                            Основні обов’язки:   Аналіз, звірка та обробка звітних даних з різних джерел (інформаційні системи, файли, API тощо);   Перевірка коректності даних у системі: наповнення, узгодженість, актуальність;   Написання…",False,https://www.work.ua/jobs/7014574/
7340410,Аналітик продаж,Київстар,Київстар,,,,12 березня 2026,"Київстар — лідер телеком-ринку України, який постійно розвиває аналітичні рішення для підтримки ефективності бізнесу. Ми шукаємо аналітика з продажів, який допоможе перетворювати дані на дієві інсайти, автоматизовувати…",False,https://www.work.ua/jobs/7340410/
7801947,Молодший аналітик,IDS Ukraine,IDS Ukraine,,,,12 березня 2026,"Повна зайнятість.
                            IDS Ukraine -лідер українського ринку мінеральних вод у всіх категоріях. Компанія має збалансований портфель популярних мінеральних вод, які видобуваються в екологічно чистих регіонах України та представлені на ринку…",False,https://www.work.ua/jobs/7801947/
7801755,Marketing Data Analyst (SQL),"Є гроші, фінансова компанія, ТОВ",Є гроші фінансова компанія ТОВ,30 000 – 35 000 грн,30.0,0.0,12 березня 2026,"Основні задачі:   Аналітика маркетингового трафіку (Google Ads, Facebook Ads, інші канали) — побудова воронки від кліку до кредиту.   Аналіз первинних і повторних кредитів: когортний аналіз, відстеження конверсій…",False,https://www.work.ua/jobs/7801755/
7595941,Zoho Implementation Business Analyst (Hands-on Builder),PalmCraft Cabinets,PalmCraft Cabinets,40 000 – 80 000 грн,40.0,0.0,12 березня 2026,We’re a consulting team delivering end-to-end Zoho operating systems for multiple clients. We’re hiring a business-first Zoho Implementation Business Analyst who can lead discovery and then build the solution using…,False,https://www.work.ua/jobs/7595941/
7293988,Асистент маркетолога,Nadel,Nadel,18 000 – 22 000 грн,18.0,0.0,12 березня 2026,Допомагати в підготовці контенту для соціальних мереж та інших каналів комунікації.   Збирати та аналізувати…,False,https://www.work.ua/jobs/7293988/
7745301,Аналітик,Akora consult,Akora consult,30 000 грн,30.0,0.0,12 березня 2026,"Akora Consult розвиває міжнародні проєкти у сфері бізнес-консалтингу, фінансів та операційного управління. У зв’язку з розширенням напряму роздрібної торгівлі ми шукаємо аналітика з досвідом роботи в retail-сфері,…",False,https://www.work.ua/jobs/7745301/
7774806,Аналітик (CRM Creatio),YEDNIST’ GROUP,YEDNIST’ GROUP,40 000 – 50 000 грн,40.0,0.0,12 березня 2026,"Фірма Триплекс понад 31 рік є лідером з продажу товарів для домашніх тварин та входить до складу торгово-виробничої компанії YEDNIST' GROUP. Факти про нас:   Ми є представниками багатьох світових брендів, AnimAll,…",False,https://www.work.ua/jobs/7774806/
4562438,Економіст з кредитування (управління кредитних операцій),Полтава Банк,Полтава Банк,,,,12 березня 2026,АТ «Полтава-банк»запрошує на роботу економістів в Управління кредитних операцій (Головний офіс) АТ «Полтава-банк» Ми пропонуємо:   Офіційне працевлаштування;   Стабільну заробітну плату 2 рази на місяць;   П’ятиденний…,False,https://www.work.ua/jobs/4562438/
7773639,Маркетолог-аналітик,AVDtrade,AVDtrade,,,,12 березня 2026,"Ми співпрацюємо з 60+ провідними європейськими брендами, маємо представництва…",False,https://www.work.ua/jobs/7773639/
7743516,"Бізнес-аналітик (IT, Middle)","DiFFreight, LLC",DiFFreight LLC,,,,12 березня 2026,"Ми займаємося міжнародними перевезеннями по напрямку Китай Україна, Україна — Америка, Україна — Європа. У зв’язку з розширенням нашого…",False,https://www.work.ua/jobs/7743516/
7743381,Аналітик товарних запасів,ProSteer Group,ProSteer Group,,,,12 березня 2026,"Повна зайнятість. Досвід роботи від 2 років.
                              Вимоги   Досвід роботи в торгівлі, виробництві або дистрибуції з товарними запасами    Розуміння принципів і методів аналізу продажів, залишків та їх розподілення    Обов’язки   Аналіз залишків системи віддалених…",False,https://www.work.ua/jobs/7743381/
7009699,"Діловод відділу обліку, списання, комплектування, аналітики БПЛА",Військова частина А4862,Військова частина А4862,50 000 – 125 000 грн,50.0,0.0,12 березня 2026,"Повна зайнятість. Досвід роботи від 2 років.
                            425 окремий полк «СКАЛА» пропонує службу у складі ефективного та сучасного військового підрозділу з якісним навчанням, підготовкою, та можливістю професійного зростання і реалізації свого потенціалу у сфері управління…",False,https://www.work.ua/jobs/7009699/
7484653,HR-аналітик,ДТЕК,ДТЕК,,,,12 березня 2026,"YASNO — бренд енергопостачальних компаній України, що забезпечують електроенергією, газом та енергоефективними рішеннями 3,3 млн сімей і понад 90 тис бізнесів. Ми бачимо український енергоринок як активного учасника,…",False,https://www.work.ua/jobs/7484653/
7641865,Business analyst,Перший Український Міжнародний Банк (ПУМБ),Перший Український Міжнародний Банк (ПУМБ),,,,12 березня 2026,"ПУМБ — місце, де ідеї перетворюються на результатиМи поєднуємо інновації, командну роботу та високі стандарти обслуговування клієнтів. Кожен день ми прагнемо вдосконалювати продукти та процеси, підтримуємо професійний…",False,https://www.work.ua/jobs/7641865/
7801086,Head of CRM,"Нова пошта, ТОВ",Нова пошта ТОВ,,,,12 березня 2026,"Нова пошта — лідер експрес-доставки в Україні. Ми у пошуку керівника в управління розвитку клієнтів. Ми пропонуємо:   офіційне працевлаштування, «білу» заробітну плату, оплачувані відпустки та лікарняні;   медичне…",False,https://www.work.ua/jobs/7801086/
7691209,Аналітик кредитних ризиків,NovaPay,NovaPay,,,,12 березня 2026,"NovaPay — міжнародний фінансовий сервіс, що входить в ГК NOVA.  Ми створюємо сучасні платіжні рішення для бізнесу та мільйонів користувачів. Розвиваємо власну платіжну систему, мобільний застосунок і пропонуємо…",False,https://www.work.ua/jobs/7691209/
7774056,Аналітик,Будинок іграшок,Будинок іграшок,,,,12 березня 2026,"Ми щодня даруємо радість дітям і натхнення дорослим, створюючи атмосферу, в якій хочеться посміхатися. Зараз ми шукаємо Провідного…",False,https://www.work.ua/jobs/7774056/
7710456,Бізнес-аналітик (International Delivery Unit МОУ),Офіс ефективного регулювання (BRDO),Офіс ефективного регулювання (BRDO),,,,12 березня 2026,Наша головна мета — збільшення інвестицій в ОПК. Наша ключова…,False,https://www.work.ua/jobs/7710456/
7771260,"Аналітик з комп'ютерних систем (Service Desk, IT Support L1)","Укролія, ТОВ",Укролія ТОВ,,,,12 березня 2026,"Вища освіта.
                            Компанія UKROLIYA та запрошує в свою командуАналітика з комп’ютерних систем (Service Desk / IT Support L1)  Вимоги:   Базові знання Windows та Microsoft Office.   Досвід роботи з IT-підтримкою або офіс-адмініструванням —…",False,https://www.work.ua/jobs/7771260/
6031200,Аналітик,24 ОМБр імені короля Данила,24 ОМБр імені короля Данила,50 000 – 120 000 грн,50.0,0.0,12 березня 2026,…,False,https://www.work.ua/jobs/6031200/
7800591,"Content Manager, Data Entry Specialist (e-commerce)","Plexsupply, Inc",Plexsupply Inc,22 000 – 30 000 грн,22.0,0.0,12 березня 2026,", що входить до топ-200 найбільших продавців на Amazon, шукаємо Content Manager / Data Entry Specialist (e-commerce) для роботи з товарним контентом,…",False,https://www.work.ua/jobs/7800591/
7693605,Менеджер з маркетингу,Snack Production,Snack Production,,,,12 березня 2026,"Національна виробничо-дистриб'юторська компанія «Snack Production» — визнаний лідер з 30-річною історією на ринку снекової продукції з відомими брендами «Сан Санич», «Flint», «Морські», «Big Bob», «Chipster's»,…",False,https://www.work.ua/jobs/7693605/
7720620,Google-аналітик (Web Analytics),Iwis,Iwis,,,,12 березня 2026,"Наша компанія IWIS шукає людину, яка допоможе нам оптимізувати роботу веб сайтів та спростить роботу нашим клієнтам…",False,https://www.work.ua/jobs/7720620/
7800444,Головний спеціаліст (кредитне адміністрування) в міжнародний банк,"Правекс Банк, АТ",Правекс Банк АТ,,,,12 березня 2026,"АТ «ПРАВЕКС БАНК» — частина банківської групи Інтеза Санпаоло (Intesa Sanpaolo), однієї з провідних банківських груп Єврозони і лідера в усіх сферах бізнесу в Італії,  Запрошує на посаду — Головний спеціаліст (кредитне…",False,https://www.work.ua/jobs/7800444/
7797894,Помічник з аналітики та координації продажів,UBP Ukraine,UBP Ukraine,25 000 – 35 000 грн,25.0,0.0,12 березня 2026,"Повна зайнятість.
                            Про компаніюUBP Ukraine — українська компанія, що працює у сфері міжнародної торгівлі та постачання металопродукції. Ми організовуємо повний цикл поставок — від виробника до клієнта: закупівлю, логістику та постачання…",False,https://www.work.ua/jobs/7797894/
7716846,Investment analyst,"Key People, HR Agency",Key People HR Agency,,,,12 березня 2026,"Наш клієнт — інвестиційно-девелоперська група, що працює на стику нерухомості, private credit та структурованих угод. У зв’язку з розвитком інвестиційної функції компанія шукає Investment Analyst, який відповідатиме…",False,https://www.work.ua/jobs/7716846/
7329595,Data analyst (портфельний аналіз),Ощадбанк,Ощадбанк,,,,12 березня 2026,"МОЇ ЛЮДИ. МОЯ СПРАВА. МОЯ СВОБОДА. ОЩАДБАНК запрошує до команди Data analyst (портфельний аналіз) Ключові завдання:   Здійснення моніторингу,…",False,https://www.work.ua/jobs/7329595/
7757403,Методолог-аналітик фінансового обліку,Rozetka,Rozetka,,,,12 березня 2026,"ROZETKA — найбільший онлайн-продавець в Україні. Ми втілюємо мрії мільйонів людей і завжди шукаємо тих, хто допоможе нам стати кращими. Як працюється в ROZETKA? Відверта книга про компанію, її команду та цінності…",False,https://www.work.ua/jobs/7757403/
7690738,Провідний аналітик (фінансове моделювання),Dok.ua,Dok.ua,,,,12 березня 2026,"dok.ua — лідер онлайн-ринку автозапчастин.  Зростаємо, допомагаємо ЗСУ, віримо в Україну та хочемо розвивати український продукт з найкращими фахівцями. Основні наші бізнес-підрозділи орієнтовані на data-driven…",False,https://www.work.ua/jobs/7690738/
7399837,Маркетинг-аналітик (нерухомість),"HR Team, HR-агенція",HR Team HR-агенція,,,,12 березня 2026,"Шукаємо аналітика в маркетинговий відділ, який працюватиме з даними та формуватиме на їх основі корисні висновки для стратегії…",False,https://www.work.ua/jobs/7399837/
7605076,Аналітик (агронапрямок),"Астарта-Київ, ТОВ",Астарта-Київ ТОВ,,,,12 березня 2026,З 2006 року акції компанії розміщені на Варшавській фондовій біржі. Наша компанія…,False,https://www.work.ua/jobs/7605076/
7744320,BA/Project Coordinator (бізнес аналітик/координатор проєктів) у Київ,Delta Medical,Delta Medical,,,,12 березня 2026,"Професіонала, що діятиме як міст між замовником (нами) та підрядником…",False,https://www.work.ua/jobs/7744320/
7533661,Фінансовий директор,Техно Їжак,Техно Їжак,,,,12 березня 2026,Шукаємо Фінансового директора…,False,https://www.work.ua/jobs/7533661/
7493521,Системний аналітик (BAF),"Омега, ТОВ",Омега ТОВ,,,,12 березня 2026,"Компанія «Омега» — національний дистриб’тор автокомпонентів, з 35-річним досвідом успішної роботи на ринку автобізнесу і визнання на міжнародному рівні. Ми шукаємо системного аналітика BAF до нашої команди. Якщо…",False,https://www.work.ua/jobs/7493521/
7744785,Web Analyst Assistant,Halo Lab,Halo Lab,,,,12 березня 2026,"У нас одна з найкрутіших дизайн команд в Україні і цей факт підкріплений нашими роботами, нагородами та популярністю у світовій спільноті…",False,https://www.work.ua/jobs/7744785/
